Product_Name,Product_Price,Old_Price,Discount
Samsung Galaxy A24 - 6.5-inch 128GB/6GB Dual Sim 4G Mobile Phone - Silver,"EGP 8,649.00","EGP 9,999.00",14%
Samsung Galaxy A24 - 6.5-inch 128GB/8GB Dual Sim 4G Mobile Phone - Silver,"EGP 9,999.00","EGP 10,999.00",9%
realme 10 – 6.4 Inch – 256GB/8GB RAM – Dual SIM 4G Mobile Phone – Rush Black,"EGP 8,889.00","EGP 11,599.00",23%
Samsung Galaxy A14 - 6.6-inch 4GB/128GB Dual Sim 4G - Mobile Phone - Black,"EGP 7,499.00","EGP 8,999.00",17%
Samsung Galaxy A04s - 6.5-inch 3GB/32GB Dual Sim 4G Mobile Phone - Black,"EGP 5,150.00","EGP 5,555.00",7%
Samsung Galaxy A14 – 6.6 inches 64GB/4GB Ram - Dual SIM 4G Mobile Phone – Black,"EGP 5,639.00","EGP 7,499.00",25%
XIAOMI Redmi 10 2022- 6.5-inch 64GB/4GB Single SIM Mobile Phone - Sea Blue,"EGP 6,499.00",0,0
realme 10 – 6.4 Inch – 256GB/8GB RAM – Dual SIM 4G Mobile Phone – Clash White,"EGP 9,289.00","EGP 10,999.00",16%
Samsung Galaxy A14 - 6.6-inch 4GB/64GB Dual Sim 4G - Mobile Phone - Light Green,"EGP 6,389.00","EGP 7,999.00",20%
Samsung Galaxy A24 - 6.5 inches 128GB/6GB RAM - Dual SIM 4G Mobile Phone – Silver,"EGP 7,888.00","EGP 10,499.00",25%
BASEQI 303MA 256GB Aluminum Alloy Micro SD(TF) Memory Card,"EGP 14,009.00","EGP 20,013.00",30%
Samsung Galaxy A14 - 6.6-inch 4GB/64GB Dual Sim 4G - Mobile Phone - Black,"EGP 6,389.00","EGP 7,999.00",20%
Infinix Hot 30i - 6.5-Inch 128GB/8GB RAM Up To 16GB - Dual SIM Mobile Phone - Diamond White,"EGP 6,099.00","EGP 6,999.00",13%
Infinix Hot 30i - 6.5-Inch 128GB/8GB RAM Up To 16GB - Dual SIM 4G Mobile Phone - Marigold,"EGP 6,099.00","EGP 6,999.00",13%
Samsung Galaxy A34 5G - 6.6-inch 8GB/128GB Dual Sim - Mobile Phone - Awesome Graphite,"EGP 14,599.00","EGP 15,999.00",9%
Ugreen 100W Desktop Charger Power Strip Charging Station Adapter,"EGP 8,579.00","EGP 12,249.00",30%
OPPO A78 - 6.43-Inch 256GB/8GB 4G Mobile Phone - Black,"EGP 11,390.00","EGP 13,500.00",16%
"Huawei Watch Buds 1.43"" AMOLED, Stainless Steel Case, Earbuds, GPS, NFC - Black Leather Strap","EGP 18,999.00","EGP 22,999.00",17%
Samsung Galaxy A15 - 6.5-inch 4GB/128GB Dual Sim 4G - Mobile Phone - Blue Black,"EGP 6,985.00","EGP 8,999.00",22%
